Candidate Name,District,Cook Rating,Position,Source,Source URL
Bill Hill (Independent),AK-AL,Likely R,Does not support Medicare for All,Campaign site,https://billhillforalaskans.com/bills-platform/
Clyde Jones,AL-01,Solid R,Does not support Medicare for All,Campaign site,https://clydeforcongress.com/issues
Shomari Figures,AL-02,Likely R,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Lee McInnis,AL-03,Solid R,Does not support Medicare for All,News coverage,https://www.alreporter.com/2025/12/01/democratic-congressional-aspirant-lee-mcinnis-explains-his-candidacy/
Amanda Pusczek,AL-04,Solid R,Does not support Medicare for All,Campaign site,https://www.amandaforalabama.com/policy
Andrew Sneed,AL-05,Solid R,Does not support Medicare for All,Campaign site,https://www.sneedforcongress.com/healthcare
Maurice Mercer,AL-06,Solid R,Does not support Medicare for All,Campaign site,https://www.mauricemercer.com/platform
Terri Sewell,AL-07,Solid D,Does not support Medicare for All,Campaign site,https://sewellforcongress.com/healthcare
Terri Yarbrough Green,AR-01,Solid R,Does not support Medicare for All,Campaign site,https://www.terrigreenforarkansas.com/
Chris Jones,AR-02,Solid R,Does not support Medicare for All,Campaign site,https://chrisjonesforcongress.com/affordability
Robb Ryerse,AR-03,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.robbforcongress.com/post/health-care-for-all
James Russell,AR-04,Solid R,Does not support Medicare for All,Campaign site,https://russellforar.com/
Amish Shah,AZ-01,Toss Up,Does not support Medicare for All,Campaign site,https://www.amishforarizona.com/issues
Jonathan Nez,AZ-02,Likely R,Does not support Medicare for All,Reviewed by hand,https://www.jonathannezforaz.com/issues
Yassamin Ansari,AZ-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Greg Stanton,AZ-04,Solid D,Does not support Medicare for All,News coverage,https://azmirror.com/2019/08/29/like-presidential-hopefuls-arizona-dems-split-on-medicare-for-all/
Elizabeth Lee,AZ-05,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.nurselee4az.com/issues/healthcare-is-a-human-right
JoAnna Mendoza,AZ-06,Toss Up,Does not support Medicare for All,Campaign site,https://www.joannamendoza.com/issues/healthcare
Adelita Grijalva,AZ-07,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Bernadette Greene-Placentia,AZ-08,Solid R,Does not support Medicare for All,Campaign site,https://bgp4az.com/
Danielle Sterbinsky,AZ-09,Solid R,Does not support Medicare for All,Campaign site,https://www.sterbinskyforcongress.com/
Mike McGuire,CA-01,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.votemikemcguire.com/issues
Jared Huffman,CA-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Ami Bera,CA-03,Solid D,Does not support Medicare for All,Campaign site,https://www.beraforcongress.com/issues/healthcare
Eric Jones,CA-04,Solid D,Does not support Medicare for All,Campaign site,https://www.ericjones.us/priorities/fight-corruption
Mike Thompson,CA-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Michael Masuda,CA-05,Solid R,Does not support Medicare for All,Campaign site,https://www.votemasuda.com/issues
Richard Pan,CA-06,Solid D,Does not support Medicare for All,Reviewed by hand,https://pro.stateaffairs.com/ca/news/richard-pan-congressional-candidate-ambigious-on-universal-healthcare
Doris Matsui,CA-07,Solid D,Does not support Medicare for All,Campaign site,https://matsuiforcongress.com/issues
Mai Vang,CA-07,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.maiforus.com/
John Garamendi,CA-08,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Josh Harder,CA-09,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Mark DeSaulnier,CA-10,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Connie Chan,CA-11,Solid D,Supports Medicare for All or single-payer,Reviewed by hand,https://ballotpedia.org/Connie_Chan
Scott Wiener,CA-11,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.scottwiener.com/priorities
Jamie Joyce,CA-12,Solid D,Does not support Medicare for All,Campaign site,https://www.jamiejoyce.com/
Lateefah Simon,CA-12,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Adam Gray,CA-13,Lean D,Does not support Medicare for All,Campaign site,https://www.adamgrayforcongress.com/issues
Aisha Wahab,CA-14,Solid D,Supports Medicare for All or single-payer,Reviewed by hand,https://www.aishawahab.com/simple
Melissa Hernandez,CA-14,Solid D,Does not support Medicare for All,Campaign site,https://melissahernandez2026.com/issues
Kevin Mullin,CA-15,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Sam Liccardo,CA-16,Solid D,Does not support Medicare for All,Campaign site,https://www.samliccardo.com/accomplishments
Ro Khanna,CA-17,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Zoe Lofgren,CA-18,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Jimmy Panetta,CA-19,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Sandra Van Scotter,CA-20,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.electsandravanscotter.com/issues
Jim Costa,CA-21,Likely D,Does not support Medicare for All,News coverage,https://costa.house.gov/issues/healthcare
Randy Villegas,CA-22,Toss Up,Supports Medicare for All or single-payer,Campaign site,https://www.villegasforcongress.com/issues/immigration
Tessa Lynn Hodge,CA-23,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.tessaforca.com/issues/issue-1
Salud Carbajal,CA-24,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Raul Ruiz,CA-25,Solid D,Does not support Medicare for All,Campaign site,https://drraulruiz.com/issues
Jacqui Irwin,CA-26,Solid D,Does not support Medicare for All,Reviewed by hand,https://irwin.asmdc.org/covered-california
George Whitesides,CA-27,Solid D,Does not support Medicare for All,Campaign site,https://www.georgewhitesides.com/
Judy Chu,CA-28,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Angélica María Dueñas,CA-29,Solid D,Supports Medicare for All or single-payer,News coverage,https://angelica4congress.com/healthcare/
Luz Rivas,CA-29,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Laura Friedman,CA-30,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Gil Cisneros,CA-31,Solid D,Does not support Medicare for All,News coverage,https://www.gilonthehill.com/on-the-issues/
Brad Sherman,CA-32,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Pete Aguilar,CA-33,Solid D,Does not support Medicare for All,News coverage,https://aguilar.house.gov/issues/
Angela Gonzales-Torres,CA-34,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.angela4congress.com/issues
Jimmy Gomez,CA-34,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Norma Torres,CA-35,Solid D,Does not support Medicare for All,News coverage,https://torres.house.gov/issues/health-care
Ted Lieu,CA-36,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Samantha Mota,CA-37,Solid D,Does not support Medicare for All,Campaign site,https://www.motaforcongress.com/issues/universal-healthcare
Sydney Kamlager-Dove,CA-37,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Hilda Solis,CA-38,Solid D,Does not support Medicare for All,Campaign site,https://www.hildasolis.com/
Mark Takano,CA-39,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Linda Sánchez,CA-41,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Robert Garcia,CA-42,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Maxine Waters,CA-43,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Nanette Barragán,CA-44,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Derek Tran,CA-45,Likely D,Does not support Medicare for All,Campaign site,https://www.derektranforcongress.com/
Lou Correa,CA-46,Solid D,Does not support Medicare for All,News coverage,https://correa.house.gov/news/press-releases/rep-lou-correa-votes-to-protect-and-expand-affordable-care-act-
Dave Min,CA-47,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Marni von Wilpert,CA-48,Lean D,Does not support Medicare for All,Campaign site,https://www.marnivonwilpert.com/issues
Mike Levin,CA-49,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Scott Peters,CA-50,Solid D,Does not support Medicare for All,Campaign site,https://scottpeters.com/issues/health-care
Sara Jacobs,CA-51,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Juan Vargas,CA-52,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Melat Kiros,CO-01,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.kirosforco.com/priorities-2
Joe Neguse,CO-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Dwayne Romero,CO-03,Likely R,Does not support Medicare for All,Campaign site,https://www.romeroforcolorado.com/issues
Eileen Laubacher,CO-04,Solid R,Does not support Medicare for All,Campaign site,https://www.eileenforcolorado.com/platform
Jessica Killin,CO-05,Likely R,Does not support Medicare for All,Campaign site,https://www.killinforcolorado.com/priorities
Jason Crow,CO-06,Solid D,Does not support Medicare for All,Campaign site,https://jasoncrow.org/values
Brittany Pettersen,CO-07,Solid D,Does not support Medicare for All,Campaign site,https://brittanypettersen.com/issues
Manny Rutinel,CO-08,Toss Up,Does not support Medicare for All,Campaign site,https://www.mannyforcolorado.com/issues
Luke Bronin,CT-01,Solid D,Does not support Medicare for All,Campaign site,https://www.broninforcongress.com/issues/protecting-medicare-medicaid-and-pushing-for-universal-healthcare
Joe Courtney,CT-02,Solid D,Does not support Medicare for All,News coverage,https://courtney.house.gov/issues/medicare-buy-and-health-care-stabilization-act
Rosa DeLauro,CT-03,Solid D,Does not support Medicare for All,Campaign site,https://rosadelauro.com/issue/health-care
Jim Himes,CT-04,Solid D,Does not support Medicare for All,News coverage,https://www.himesforcongress.com/priorities/healthcare/
Jahana Hayes,CT-05,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Robert White (non-voting delegate),DC-AL,,Supports Medicare for All or single-payer,Reviewed by hand,https://weareprogressives.org/congressional-progressive-caucus-pac-endorses-robert-white-for-dc-delegate/
Gay Valimont,FL-01,Solid R,Does not support Medicare for All,Campaign site,https://www.gayforcongress.com/issues
Amanda Green,FL-02,Solid R,Does not support Medicare for All,Campaign site,https://www.amgforcongress.com/top-priorities
Seth Harp,FL-03,Solid R,Does not support Medicare for All,Campaign site,https://www.sethharpforcongress.com/issues
LaShonda Holloway,FL-04,Solid R,Does not support Medicare for All,Campaign site,https://www.hollowayforcongress.com/
Rachel Grage,FL-05,Solid R,Does not support Medicare for All,Campaign site,https://rachelgrage.com/
Eric Yonce,FL-06,Solid R,Does not support Medicare for All,News coverage,https://www.yonceforcongress.com/
Bale Dalton,FL-07,Likely R,Does not support Medicare for All,Campaign site,https://baledalton.com/priorities
Jennifer Jenkins,FL-08,Solid R,Does not support Medicare for All,News coverage,https://jenkinsforfl.com/priorities/
Darren Soto,FL-09,Likely R,Does not support Medicare for All,Campaign site,https://www.darrensoto.com/healthcare
